City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Ahipara,NZ,-35.1667,173.1667,65.26,94,100,15.68,moderate rain
166,Nizhniy Ingash,RU,56.2,96.53,32.92,87,100,1.28,overcast clouds
167,Pevek,RU,69.7008,170.3133,9.05,94,99,4.92,overcast clouds
168,Sturgeon Falls,CA,46.3646,-79.9326,45.05,87,100,9.8,overcast clouds
169,Remanso,BR,-9.6179,-42.0831,83.39,59,32,5.84,scattered clouds
170,Khorixas,NA,-20.3667,14.9667,72.55,27,11,4.52,few clouds
171,Pacasmayo,PE,-7.4006,-79.5714,78.73,70,20,14.52,few clouds
172,Male,MV,4.1748,73.5089,82.87,78,100,17.29,overcast clouds
173,Dunedin,NZ,-45.8742,170.5036,56.8,98,78,3.0,broken clouds
174,Pangody,RU,65.85,74.4859,21.74,98,86,5.59,overcast clouds
175,Polessk,RU,54.862,21.1028,41.97,78,1,3.83,clear sky
176,Leningradskiy,RU,69.3833,178.4167,11.21,90,97,7.99,overcast clouds
177,Khorramabad,IR,33.4878,48.3558,49.62,62,0,2.3,clear sky
178,Novotroitskaya,RU,45.3267,41.5253,48.79,85,59,4.25,broken clouds
179,Margate,GB,51.3813,1.3862,49.69,79,100,7.0,overcast clouds
180,Norsup,VU,-16.0667,167.3833,80.2,80,8,9.62,clear sky
181,Narsaq,GL,60.9167,-46.05,50.22,63,91,1.57,overcast clouds
182,Ridgecrest,US,35.6225,-117.6709,65.68,24,75,5.99,broken clouds
183,Ust-Omchug,RU,61.15,149.6333,18.66,95,100,1.79,overcast clouds
184,Tonantins,BR,-2.8731,-67.8022,85.19,67,100,4.79,overcast clouds
185,Faya,SA,18.3851,42.4509,63.12,60,60,4.72,broken clouds
186,Ponta Do Sol,PT,32.6667,-17.1,71.71,66,100,9.4,overcast clouds
187,Clyde River,CA,70.4692,-68.5914,31.01,80,80,11.03,broken clouds
188,Riwaka,NZ,-41.0833,173.0,62.01,97,100,0.83,heavy intensity rain
189,Axim,GH,4.8699,-2.2405,81.16,80,49,9.17,scattered clouds
